ID,Date,Bench,DiaryNumber,CaseNumber,JudgementBy,URL
5f57635562a4b235ed37d907,08-02-2017 ,"JAGDISH SINGH KHEHAR,N.V. RAMANA,D.Y. CHANDRACHUD",10215 / 2002,W.P.(C) No.-000328-000328 / 2002,,jonew/judgment/judis/44583.pdf
5f57635c62a4b235ed37d908,19-06-2017 ,"HON'BLE THE CHIEF JUSTICE RANJAN GOGOI, HON'BLE MR. JUSTICE NAVIN SINHA",10229 / 2015,CONMT.PET.(C) No.-000288-000288 / 2015,HON'BLE THE CHIEF JUSTICE RANJAN GOGOI,/supremecourt//2015/2015__Judgement_19-Jun-2017.pdf
5f57636262a4b235ed37d909,05-04-2017 ,"R. BANUMATHI,SANJAY KISHAN KAUL",10235 / 2007,C.A. No.-006475-006475 / 2008,,jonew/judgment/judis/44838.pdf
5f57636962a4b235ed37d90a,24-04-2017 ,"N.V. RAMANA,PRAFULLA C. PANT",10242 / 2013,Crl.A. No.-001581-001581 / 2013,,jonew/judgment/judis/44811.pdf
5f57637062a4b235ed37d90b,14-11-2017 ,,10306 / 2017,W.P.(C) No.-000229-000229 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2017/10306/10306_2017_Judgement_14-Nov-2017.pdf
5f57637762a4b235ed37d90c,24-08-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",10330 / 2017,C.A. No.-010857-010857 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2017/10330/10330_2017_Judgement_24-Aug-2017.pdf
5f57637e62a4b235ed37d90d,07-09-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",10348 / 2013,C.A. No.-011337-011337 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2013/10348/10348_2013_Judgement_07-Sep-2017.pdf
5f57638462a4b235ed37d90e,31-07-2017 ,"HON'BLE MR. JUSTICE A.K. SIKRI, HON'BLE MR. JUSTICE ASHOK BHUSHAN",10364 / 2017,T.P.(C) No.-000567-000567 / 2017,HON'BLE MR. JUSTICE A.K. SIKRI,/supremecourt/2017/10364/10364_2017_Judgement_31-Jul-2017.pdf
5f57638b62a4b235ed37d90f,31-03-2017 ,"JAGDISH SINGH KHEHAR,D.Y. CHANDRACHUD,L. NAGESWARA RAO",10375 / 2013,C.A. No.-012164-012166 / 2016,,jonew/judgment/judis/44707.pdf
5f57639262a4b235ed37d910,30-10-2017 ,"HON'BLE THE CHIEF JUSTICE RANJAN GOGOI, HON'BLE MR. JUSTICE NAVIN SINHA",10454 / 2017,C.A. No.-017374-017374 / 2017,HON'BLE THE CHIEF JUSTICE RANJAN GOGOI,/supremecourt//2017/2017__Judgement_30-Oct-2017.pdf
